name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-zh,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOneAhead,0.4.8,,813478,50066,4.56s,59.67us,42.00ns,59.87us,1.30us,59.50us,96.79us
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/noAcc,0.4.8,,899232,182,4.52s,16.53ms,12.38us,16.53ms,31.58us,16.46ms,16.81ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOnce,0.4.8,,899232,7286,4.56s,408.46us,499.00ns,411.74us,6.18us,407.42us,479.50us
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accEmptyStates,0.4.8,,899232,7311,4.51s,409.00us,250.00ns,410.32us,3.86us,408.21us,488.83us
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOneAhead,0.4.8,,899232,7470,4.53s,400.25us,167.00ns,401.58us,4.10us,399.46us,468.58us
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/noAcc,0.4.8,,899232,60,4.56s,50.22ms,40.54us,50.24ms,90.20us,50.15ms,50.58ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOnce,0.4.8,"count mismatch, expected 725, got 714",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accEmptyStates,0.4.8,"count mismatch, expected 725, got 714",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOneAhead,0.4.8,"count mismatch, expected 725, got 714",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/noAcc,0.4.8,,1570556,90,4.59s,33.55ms,60.65us,33.57ms,93.16us,33.42ms,33.85ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOnce,0.4.8,,1570556,3317,4.54s,903.58us,2.00us,904.58us,7.09us,900.58us,1.05ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accEmptyStates,0.4.8,,1570556,3317,4.51s,903.46us,2.04us,904.62us,7.12us,900.42us,1.03ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOneAhead,0.4.8,,1570556,3188,4.51s,939.92us,1.88us,941.19us,7.08us,935.46us,1.06ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/noAcc,0.4.8,,1570556,31,4.73s,99.52ms,70.25us,99.56ms,139.87us,99.33ms,99.95ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOnce,0.4.8,"count mismatch, expected 971, got 899",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accEmptyStates,0.4.8,"count mismatch, expected 971, got 899",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOneAhead,0.4.8,"count mismatch, expected 971, got 899",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/noAcc,0.4.8,,813478,197,4.54s,15.26ms,12.58us,15.27ms,48.36us,15.21ms,15.62ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOnce,0.4.8,,813478,17191,4.54s,174.08us,83.00ns,174.46us,1.77us,173.83us,225.17us
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accEmptyStates,0.4.8,,813478,17202,4.55s,174.12us,167.00ns,174.36us,1.01us,173.75us,217.79us
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOneAhead,0.4.8,,813478,12841,4.53s,233.12us,83.00ns,233.57us,1.97us,232.88us,283.04us
curated/03-date/ascii,count-spans,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/noAcc,0.4.8,"failed to run command for 'rust/regex/pikevm/noAcc', last line of stderr is: note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/03-date/ascii,count-spans,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOnce,0.4.8,"failed to run command for 'rust/regex/pikevm/accOnce', last line of stderr is: note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/03-date/ascii,count-spans,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accEmptyStates,0.4.8,"failed to run command for 'rust/regex/pikevm/accEmptyStates', last line of stderr is: note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/03-date/ascii,count-spans,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOneAhead,0.4.8,"failed to run command for 'rust/regex/pikevm/accOneAhead', last line of stderr is: note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/03-date/unicode,count-spans,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/noAcc,0.4.8,"failed to run command for 'rust/regex/pikevm/noAcc', last line of stderr is: note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/03-date/unicode,count-spans,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOnce,0.4.8,"failed to run command for 'rust/regex/pikevm/accOnce', last line of stderr is: note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/03-date/unicode,count-spans,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accEmptyStates,0.4.8,"failed to run command for 'rust/regex/pikevm/accEmptyStates', last line of stderr is: note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/03-date/unicode,count-spans,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOneAhead,0.4.8,"failed to run command for 'rust/regex/pikevm/accOneAhead', last line of stderr is: note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace",,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/03-date/compile-ascii,compile,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/noAcc,0.4.8,,,2184,4.55s,1.28ms,1.21us,1.28ms,7.62us,1.28ms,1.43ms
curated/03-date/compile-ascii,compile,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOnce,0.4.8,,,1384,4.51s,2.08ms,2.29us,2.08ms,11.95us,2.07ms,2.34ms
curated/03-date/compile-ascii,compile,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accEmptyStates,0.4.8,,,1385,4.51s,2.07ms,2.33us,2.08ms,13.23us,2.07ms,2.33ms
curated/03-date/compile-ascii,compile,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOneAhead,0.4.8,,,1385,4.56s,2.07ms,2.42us,2.08ms,12.86us,2.07ms,2.34ms
curated/03-date/compile-unicode,compile,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/noAcc,0.4.8,,,719,4.54s,3.91ms,4.38us,3.91ms,18.70us,3.89ms,4.21ms
curated/03-date/compile-unicode,compile,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOnce,0.4.8,,,600,4.53s,4.72ms,5.40us,4.73ms,21.97us,4.71ms,5.04ms
curated/03-date/compile-unicode,compile,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accEmptyStates,0.4.8,,,602,4.54s,4.71ms,5.29us,4.71ms,21.69us,4.70ms,5.05ms
curated/03-date/compile-unicode,compile,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOneAhead,0.4.8,,,601,4.51s,4.71ms,5.29us,4.72ms,24.99us,4.69ms,5.05ms
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/noAcc,0.4.8,,32514634,3,6.02s,1.19s,503.83us,1.19s,472.93us,1.19s,1.19s
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accOnce,0.4.8,,32514634,3,6.00s,1.19s,118.54us,1.19s,565.47us,1.19s,1.19s
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev d6d73bc15a),rust/regex/pikevm/accEmptyStates,0.4.8,,32514634,3,6.02s,1.19s,546.79us,1.19s,649.31us,1.19s,1.19s
